T_mem,T_grok,T_circuit,T_circuit_25,T_circuit_75,T_circuit_90,T_test_50,exc_min,T_exc_min,T_exc_recover,T_exc_enter,T_res_01,res_final,l2_peak,T_l2_peak,l2_final,l2_init,gini_final,gini_max,T_gini_05,n_keys,emerg_first,emerg_last,emerg_spread,wl_kf_conc_final,config,family,momentum,regime,seed,gap,gap_ratio,circuit_lead,cleanup_dur,dip_width,mem_to_excmin
178.4362407325978,5110.871395950678,4737.069091440257,2806.485696517413,5621.541055377491,6668.165443217568,4195.749990009901,1.8190101311483356e-05,1280.0,4340.0,160.0,4548.166939512402,7.413497144029542e-07,4832.480134218931,820.0,1451.6029526293278,1787.0870623588562,0.9134574234485626,0.9159674644470215,3555.979092190905,5,0.0,0.0,0.0,0.967008650302887,EGD m=0 slow,EGD,0.0,slow,1,4932.43515521808,28.642563724539354,373.802304510421,3060.0,4180.0,1101.5637592674022
177.32478283604803,3796.016197495782,3268.076762695578,2044.1385954086966,4350.73047858942,7027.372940101459,3168.986445864459,4.4431230286199325e-05,360.0,3110.0,160.0,3210.6381356663774,2.4887520722075915e-07,4762.454774998128,820.0,1492.4384266138077,1779.1197283267975,0.9249930381774902,0.9251275062561035,2697.216763390964,5,0.0,0.0,0.0,0.9918253123760223,EGD m=0 slow,EGD,0.0,slow,2,3618.6914146597337,21.40713856678186,527.9394348002038,2750.0,2950.0,182.67521716395197
178.92353547832624,3863.2619647019646,3029.5177031320927,2005.902221054015,3594.079667044059,4190.732650255584,3133.3870722869133,5.205911943811382e-05,360.0,2830.0,160.0,2959.7551392056243,2.39265883340564e-07,4798.22083684057,820.0,1390.0161204338074,1774.7362294197083,0.9442207217216492,0.9442585110664368,2756.1100917431195,5,0.0,0.0,0.0,0.997363269329071,EGD m=0 slow,EGD,0.0,slow,3,3684.3384292236383,21.591692531528015,833.7442615698719,2470.0,2670.0,181.07646452167376
183.0192435849595,3212.0120154522447,2469.391446104999,1318.6377324866626,3117.713559352166,4010.679852154766,2608.2499980019766,8.710692339657164e-05,360.0,2310.0,170.0,2409.7778061214567,3.736631381327285e-07,4742.529114957899,820.0,1477.8577044606209,1780.501963853836,0.9213975369930267,0.9217067956924438,2174.5406385335887,5,0.0,0.0,0.0,0.9684142172336578,EGD m=0 slow,EGD,0.0,slow,4,3028.9927718672852,17.550132721214062,742.6205693472457,1950.0,2140.0,176.9807564150405
29.226262731542864,353.5061072261072,633.5431239287254,175.54051218359587,722.3859437474017,796.8452319812761,76.17811247470956,0.0032202315669371154,60.0,650.0,10.0,573.422309357411,2.2400982491340767e-06,8138.557439457858,30.0,1458.5844816993922,1783.3782138824463,0.9158443808555603,0.9280757904052734,195.0636516681431,5,0.0,0.0,0.0,0.9914737045764923,EGD m=0.9 fast,EGD,0.9,fast,0,324.2798444945643,12.095494742972411,-280.03701670261825,590.0,640.0,30.773737268457136
29.319345019514692,496.35212194217934,903.9585987854535,250.37914855447457,2367.27551774257,2754.2685539246304,75.30682969656786,0.0006653010654656904,80.0,1000.0,10.0,732.5172818472952,1.5430247484768536e-06,8368.054759188555,30.0,1494.2059060577303,1787.0870623588562,0.9139695465564728,0.9217822551727295,212.32032562987968,5,0.0,0.0,0.0,0.988233745098114,EGD m=0.9 fast,EGD,0.9,fast,1,467.03277692266465,16.92916815201062,-407.6064768432742,920.0,990.0,50.68065498048531
29.08802253163907,477.0122144522144,833.1733551373286,244.62072969300286,2692.335386307892,8535.064944562144,80.54333229909801,0.0005293555906072528,90.0,950.0,10.0,710.0880290171531,1.967723190079713e-06,7893.004132211674,30.0,1463.7946232259274,1779.1197283267975,0.9097431898117065,0.919076144695282,206.82277497085116,5,0.0,0.0,0.0,0.9892200827598572,EGD m=0.9 fast,EGD,0.9,fast,2,447.9241919205753,16.398922062624496,-356.1611406851142,860.0,940.0,60.91197746836093
29.29787252644384,501.0730463199772,684.0947220906363,381.1890508996054,918.70663653768,1725.4100099428942,78.64055228013032,0.0007492358000978578,90.0,750.0,10.0,659.0629997057733,3.690793335645138e-06,7991.74509557616,30.0,1550.7311124820262,1774.7362294197083,0.9167658388614655,0.9317898154258728,264.9448692218313,5,0.0,0.0,0.0,0.9885340332984924,EGD m=0.9 fast,EGD,0.9,fast,3,471.7751737935334,17.10271098584772,-183.0216757706591,660.0,740.0,60.70212747355616
29.277133897618217,397.88106560106553,697.6271865470857,145.65088135786252,1182.1886028170743,2284.211067329107,74.73826632920158,0.004127575508095717,70.0,800.0,10.0,633.9701483686506,3.636885467205403e-07,8272.49143494619,30.0,1443.645003161393,1780.501963853836,0.9096484184265137,0.9213882088661194,157.18630150219775,5,0.0,0.0,0.0,0.9897937178611755,EGD m=0.9 fast,EGD,0.9,fast,4,368.6039317034473,13.59016449466846,-299.74612094602014,730.0,790.0,40.722866102381786
190.658565701559,4897.609803399222,3868.981215702828,2322.246498916753,4601.092868755394,5621.441781947474,4110.1807047162965,2.5894592386474157e-05,320.0,3380.0,170.0,3835.0621189647204,3.0199368008861476e-07,4720.5918785482645,830.0,1413.97329595685,1783.3782138824463,0.9348280727863312,0.9350264668464661,3482.733838535825,5,0.0,0.0,0.0,0.9969881474971771,EGD m=0.9 slow,EGD,0.9,slow,0,4706.951237697663,25.687856117964987,1028.6285876963939,3060.0,3210.0,129.341434298441
